date,NAO,ENSO,v,Z_an,VPD_an,SKT_an,TP_an,SM_an,BA
3/14/2013,-2.09,2.5,2.335055919,137.17943,0.18136036,0.4863848,-1.0209864,0.004128568,52.58902
3/22/2013,-2.09,2.5,2.208375663,-154.07518,-0.3039319,0.09754573,-1.1546913,-0.001253534,47.827866
3/30/2013,-2.09,2.5,0.631184555,-33.040237,-0.002170778,-0.15040383,-4.378732,-0.003788961,69.6338
4/7/2013,0.6,0.4,0.767925333,-125.97934,0.36606362,0.10914415,-2.9860616,-0.005025291,22.658163
4/15/2013,0.6,0.4,-0.228045116,-48.883087,-0.61165595,-0.42825544,-1.2411586,-0.005524974,16.796202
4/23/2013,0.6,0.4,0.300366868,86.38446,-1.1268266,-0.15490478,-3.5411046,-0.004755112,54.32696
5/1/2013,0.58,1.3,-1.257392754,-57.646183,0.18689907,-0.3241769,2.771364,-0.006378322,29.18116
5/9/2013,0.58,1.3,0.646611609,18.85802,-0.33533686,-0.3973384,7.1160502,-0.008362303,9.567495
5/17/2013,0.58,1.3,-0.058392435,117.83189,1.5257286,0.21288976,-3.7275794,-0.009651491,1.2382246
5/25/2013,0.58,1.3,1.564530586,7.427472,-0.29714945,-0.069212966,8.938266,-0.01832695,0.7083487
6/2/2013,0.83,2,0.122833919,-115.72977,-0.530189,0.25590116,5.1965866,-0.021150341,0.4648502
6/10/2013,0.83,2,-2.024164847,54.199215,-1.9377333,-0.615982,9.767513,-0.01777492,0.37764096
6/18/2013,0.83,2,-1.171958517,-252.237,-0.8571772,-0.6042881,3.1598723,-0.011964208,0.14069395
6/26/2013,0.83,2,-0.226378823,177.65585,-0.848754,-0.34283766,1.4901861,-0.011391588,1.5528718
7/4/2013,0.7,1.3,0.462754361,-6.83259,-1.0847083,-0.57311314,6.300674,-0.010239746,0.692145
7/12/2013,0.7,1.3,-0.659774165,41.519913,-0.34109572,-0.27591696,-0.23788127,-0.004554088,0.9913214
7/20/2013,0.7,1.3,-1.37325668,-70.518456,-0.33722052,-0.54484576,8.423276,-0.003628068,1.2650462
7/28/2013,0.7,1.3,-2.599803207,198.58449,0.17892236,-0.19161856,0.7772956,0.003748277,0.9517728
8/5/2013,1.12,0.3,-0.849218314,4.089436,-0.77423525,-0.39577192,-4.2468762,0.004370783,0.37173373
8/13/2013,1.12,0.3,-0.838775355,-180.25287,-0.8369876,-0.45039043,3.0260968,0.004965677,0.3728968
8/21/2013,1.12,0.3,0.210346594,-181.55489,-0.11315764,-0.17086689,-7.6787515,0.008763759,0.2697075
8/29/2013,1.12,0.3,1.914546279,150.57356,0.052691527,-0.3051886,-8.780633,0.012196399,0.43927777
9/6/2013,0.38,0.5,-1.555237029,-12.042384,0.41390342,-0.4915493,-3.9043672,0.014024864,1.0585995
9/14/2013,0.38,0.5,0.537595566,-93.56422,0.24172908,-0.03582981,4.8355193,0.010551056,0.69641864
9/22/2013,0.38,0.5,0.59017341,-102.75205,0.02356928,0.24326918,-2.8595524,0.00905317,12.5288105
9/30/2013,0.38,0.5,-1.904858709,-116.71924,-0.33928585,-0.036706902,1.3600093,0.008164192,62.798443
10/8/2013,-0.88,-0.1,-1.155608983,285.1144,-0.89633614,0.49652338,4.004479,0.009324249,13.30118
10/16/2013,-0.88,-0.1,0.684067986,27.44617,-0.6428631,-0.15417817,3.558278,0.010384181,16.313906
10/24/2013,-0.88,-0.1,-1.384799668,53.7664,-0.9373948,-0.54179716,-0.3419103,0.009572518,15.318225
11/1/2013,0.81,1.2,-1.482454318,-118.70542,-0.5282837,-0.87388235,-6.192164,0.008593517,20.550718
11/9/2013,0.81,1.2,1.145507458,-163.49252,0.026534531,-1.7107383,-4.6967177,0.007401079,7.900442
11/17/2013,0.81,1.2,3.278400964,50.820522,-0.29105562,-0.69524664,0.07740616,0.005983886,2.6809382
11/25/2013,0.81,1.2,2.790052679,-50.927635,-0.105733775,0.09170167,-1.7338167,0.005486916,1.3596765
12/3/2013,0.79,0.1,4.854443226,-97.957634,0.11662908,0.06398691,6.690069,0.005815403,0.5260702
12/11/2013,0.79,0.1,-4.249856944,-265.6582,0.587098,-0.25507548,-2.8195388,0.003030379,0.6219547
12/19/2013,0.79,0.1,-1.931993888,-314.17606,0.35285568,-0.8693344,-6.3883214,0.001942692,0.4173323
12/27/2013,0.79,0.1,6.770785856,-208.03612,0.1752076,-1.1152506,-0.4546128,-0.002559004,0.1691234
1/1/2014,-0.17,2.4,3.552244035,-105.6115,-0.29297027,-0.6880807,0.09067062,-0.00383847,1.207006
1/9/2014,-0.17,2.4,1.28316151,-231.68256,-0.3661929,-0.41198918,-0.6563957,-0.004919284,1.394983
